name,artist,lyric
Ku cinta kau lebih dari kemarin,Abdul dan Coffee theory,"Maafkanku bila
Ku kurang romantis
Tak segombal lelaki lain
Memang diriku tak penuh kejutan
Tak mampu guncangkan dunia
Namun kau pun tahu
Hati ini hanya untukmu
Namun kau pun tahu
Ku tak dapat hidup
Tanpa dirimu
Kucinta kau
Saat ini
Lebih dari hari yang kemarin
Dan akan ku beri kau
Lebih dan lebih
Sampai akhir hayat nanti
Percayalah padaku
Cinta ini
Takkan pernah mati
Karena hanya padamu
Telah aku temukan
Satu cinta yang tulus
Dan jujur untuk diriku"
Selalu Ada,Abdul dan Coffee theory,"Saat aku sendiri kuteringat wajahmu
Dengan baju favoritmu kau tersenyum kepadaku
Kuingat selalu cara tawamu kau buat kubahagia
Oh kasih hanya kamu
Di dalam khayalku kau selalu ada
Di dalam hatiku kau selalu ada
Saat kita bersama saat kita berpisah
Walau kini kau bukan milikku lagi
Kau selalu ada
Saat kututup mata kudengar suaramu (kamu di mana)
Nyanyi lagu favoritmu ketika kau sedang rindu
Karena candamu juga tawamu kau buat kubahagia
Kasih hanya kamu
Di dalam khayalku kau selalu ada
Di dalam hatiku kau selalu ada
Saat kita bersama saat kita berpisah
Walau kini kau bukan milikku lagi
Kau selalu ada
Kadang cinta tak harus memiliki
Ku tak peduli asal kau ada oh
Di dalam khayalku kau selalu ada
Di dalam hatiku kau selalu ada
Saat kita bersama saat kita berpisah
Walau kini kau bukan milikku lagi
Di dalam khayalku kau selalu ada
Di dalam hatiku kau selalu ada
Saat kita bersama saat kita berpisah
Walau kini kau bukan milikku lagi
Kau selalu ada
Selalu ada"
Aku Suka Caramu,Abdul dan Coffee theory,"Aku suka caramu membuatku tersenyum
Saat hari ku kelabu
Aku suka caramu tertawa riang
Saat kau datang menyambutku
Aku suka semua perhatianmu
Aku suka caramu menjaga diriku
Aku suka semuanya tentangmu ye
Engkau dan aku
Tercipta untuk jadi satu
Engkau dan aku
Ku kan selalu jadi milikmu
Walau waktu berputar
Cinta kita kan bersinar selamanya
Aku suka semuanya tentang kamu
Tu tu tu
Aku suka caramu menahan diriku
Saat ku kan pergi jauh
Aku suka caramu membuatku cemburu
Tuk dapat perhatianku
Aku suka caramu memanjakanku
Aku suka caramu meyakinkan aku
Saat aku merasa ragu oh
Engkau dan aku
Tercipta untuk jadi satu
Engkau dan aku
Ku kan selalu jadi milikmu
Walau waktu berputar
Cinta kita kan bersinar selamanya
Aku suka semuanya tentang kamu
Pap pap pap
Walau waktu berputar
Cinta kita kan bersinar selamanya
Aku suka
Aku suka
Aku suka
Aku suka
Aku suka
Semuanya tentang kamu"
Agar kau mengerti,Abdul dan Coffee theory,"Aku tak pernah bisa
Tuk kau beri dunia
Aku tak pernah bisa
Tuk kau beri setumpuk kata cinta
Yang aku ingin hanyalah pengertianmu
Tuk sedikit saja pahami maksudku
Yang aku ingin hanyalah agar kau mau
Sekedar mengerti aku
Aku tak pernah minta
Untuk semua waktumu
Aku tak pernah minta
Kau beri semua yang engkau punya
Yang aku ingin hanyalah pengertianmu
Tuk sedikit saja pahami maksudku
Yang aku ingin hanyalah agar kau mau
Sekedar mengerti aku ye
Heye
Yang aku ingin hanyalah pengertianmu
Tuk sedikit saja pahami maksudku
Yang aku ingin hanyalah agar kau mau
Sekedar oh yeah
Yang aku ingin hanyalah pengertianmu
Tuk sedikit saja pahami maksudku
Yang aku ingin hanyalah agar kau mau
Sekedar mengerti aku
Ta ram ta ram
"
Lagi Lagi Kamu,Abdul dan Coffee theory,"Ku sadari aku yang membuat kita berpisah
Ku sadari ini hanya emosi sesaat
Tlah ku coba melupakanmu
Namun aku tak mungkin bisa tanpamu
Lagi-lagi kamu yang ku tunggu
Lagi-lagi kamu yang ku rindu
Sehari tanpamu seakan ku tak hidup ooh
Kan ku kembalikan saja cintaku
Ku sadari aku yang membuat kita berpisah
Ku sadari ini hanya emosi sesaat
Tlah ku coba melupakanmu
Namun aku tak mungkin bisa tanpamu
Lagi-lagi kamu yang ku tunggu
Lagi-lagi kamu yang ku rindu
Sehari tanpamu seakan ku tak hidup ooh
Kan ku kembalikan saja cintaku
Aku tahu kau masih menunggu
Rasa cepat itu berpaling
Maafkan aku yang terlalu emosi
Lagi-lagi kamu yang ku tunggu
Lagi-lagi kamu yang ku rindu
Sehari tanpamu seakan ku tak hidup ooh
Lagi-lagi kamu yang ku tunggu
Lagi-lagi kamu yang ku rindu
Sehari tanpamu seakan ku tak hidup ooh
Kan ku kembalikan saja cintaku
Lagi-lagi kamu, lagi-lagi kamu
"
Mima,Abdul dan Coffee theory,"Mima, ingatkah ku t'lah berjanji bahwa
Ku akan tetap selalu mencintai kamu
Mima, ingatkah kau t'lah berjanji bahwa
Kau akan tetap selalu mencintai aku
Tahukah kamu, hatiku s'lalu memilihmu
Walau kutahu, ku takkan bisa milikimu, hoo uwo ohh
Lupakanlah segala rasa yang kini sesakkan dada
Ku 'kan ada 'tuk s'lamanya, meski tak bisa bersama
Ku mencintaimu
Lupakanlah segala rasa yang kini sesakkan dada
Ku 'kan ada 'tuk s'lamanya, meski tak bisa bersama
Ma'afkanlah atas semua, ku hanya ingin kau bahagia
Ku mencintaimu
Mima"
Sibuk,Abdul dan Coffee theory,"Sejak engkau datang
Hati ini menjadi tak menentu
Dan waktu tak pernah cukup
Kar'na aku s'lalu memikirkanmu
Siang bahkan malam
Hanya kamu yang ada di benakku
Dan aku tak pernah bisa
Melewati hari tanpa dirimu
Jangan tanya, bagaimana kabarku
Yang penting kau cinta aku
Aku tak ada waktu 'tuk pikirkan diriku
Kar'na aku sibuk memikirkan kamu
Aku tak ada waktu 'tuk diri sendiri
Kar'na aku sibuk menjagamu
Tetap milikku
Siang bahkan malam
Hanya kamu yang ada di benakku
Dan aku tak pernah bisa
Melewati hari tanpa dirimu
Aku tak ada waktu 'tuk pikirkan diriku
Kar'na aku sibuk memikirkan kamu
Aku tak ada waktu 'tuk diri sendiri
Kar'na aku sibuk menjagamu
Tetap milikku
Indahnya dunia
Selama kau ada di sampingku, hu, hu
Tak pernah ku mau
Berpaling dari cintamu padaku, oh
Aku tak ada waktu 'tuk pikirkan diriku
Kar'na aku sibuk memikirkan kamu
Aku tak ada waktu 'tuk diri sendiri
Kar'na aku sibuk menjagamu, oh
Menjagamu, ho-oh
Menjagamu
Tetap milikku
"
Tak Pernah Terganti,Abdul dan Coffee theory,"Mencintaimu sungguh mudah
Semudah satu dua tiga
Tapi ternyata cinta kita
Tak semudah yang kita kira
Ada saat kuberpaling
Tak sengaja melupakanmu
Tapi hatiku selalu untukmu
Denganmu
Kutemukan cahaya hatiku
Denganmu
Kutemukan cinta sejatiku
Ada cinta dan ada benci
Kita tertawa dan menangis
Hingga akhir umurku nanti
Kau tak pernah terganti
Mencintaimu sungguh mudah
Semudah satu dua tiga
Tapi ternyata cinta kita
Tak semudah yang kita kira
Ada saat kuberpaling
Tak sengaja melupakanmu
Tapi hatiku selalu untukmu
Denganmu
Kutemukan cahaya hatiku
Denganmu
Kutemukan cinta sejatiku
Ada cinta dan ada benci
Kita tertawa dan menangis
Hingga akhir umurku nanti
Kau tak pernah terganti
Hanya kau yang bisa
Membuatku bahagia
Mungkin kita hidup bersama
Untuk selama-lamanya
Denganmu
Kutemukan cahaya hatiku
Denganmu
Kutemukan cinta sejatiku
Ada cinta dan ada benci
Kita tertawa dan menangis
Hingga akhir umurku nanti
Kau tak pernah terganti
Kau tak pernah terganti
Kau tak pernah terganti"
Memutar Waktu,Abdul dan Coffee theory,"Dulu ku merasa kuat
Dulu aku percaya
Ku kan mampu menaklukkan dunia
Saat kau ada
Dulu ku merasa hidup
Dulu semuanya indah
Kar'na kau selalu datang melengkapi
Hari-hari bersama
Andai aku bisa memutar waktu
Takkan pernah aku sia-siakan
Saat-saat kita bisa berdua
Engkau selalu menjadi yang utama bagiku
Dulu ku merasa hidup
Dulu semuanya indah
Kar'na kau selalu datang melengkapi
Hari-hari bersama
Andai aku bisa memutar waktu
Takkan pernah aku sia-siakan
Saat-saat kita bisa berdua
Engkau selalu menjadi yang utama
Percayalah aku bisa menjadi lebih baik
Andai aku bisa memutar waktu
Takkan pernah aku sia-siakan
Saat-saat kita bisa berdua
Engkau selalu menjadi yang utama
Andai aku bisa memutar waktu
Untuk dapat mencintaimu lagi
Aku bisa menjadi lebih baik
Karena kamu dan untukmu aku hidup
Oh
Hey
Untukmu aku hidup"
Tiada batas menunggu,Abdul dan Coffee theory,"Telah lama ku memendam rasa
Cinta ini untuk dirimu
Dan kini saatnya aku mengatakan padamu
Kuharap kau dapat menerima
Jujur aku tak dapat berpaling yeah
Bila hati t'lah tentukan pilihan
Aku tak memaksa kau untuk menjawab saat ini
Pakai saja waktu yang kau butuhkan
Hei kuharap kau percaya
Kesungguhanku padamu
Satu dua minggu akan kutunggu
Dua tiga bulan masih kutunggu
Empat lima tahun ku masih disini
Sampai bulan tak bersinar
Dan mentari telah sirna
Ku akan tetap setia menunggu
Kini bukan waktunya untukku
Bermain dengan hati
Aku mencari seorang kekasih
Yang setia padaku
Untuk selamanya oh
Satu dua minggu akan kutunggu
Dua tiga bulan masih kutunggu
Empat lima tahun ku masih disini
Sampai bulan tak bersinar
Dan mentari telah sirna
Satu dua minggu akan kutunggu
Dua tiga bulan masih kutunggu
Empat lima tahun ku masih disini
Sampai bulan tak bersinar
Dan mentari telah sirna
Hari-hari telah hilang
Ku akan tetap setia menunggu"
